year,month,day,cloud,humidity,pressure,rainfall,temperature
2000,1,1,6,69,1017.1,0.0,19.2
2000,1,2,2,64,1017.2,0.0,20.4
2000,1,3,10,67,1016.8,0.0,19.2
2000,1,4,60,74,1016.1,0.0,18.9
2000,1,5,40,75,1013.9,0.0,20.6
2000,1,6,48,85,1013.7,0.0,21.2
2000,1,7,88,81,1016.8,0.0,18.9
2000,1,8,46,77,1016.0,0.0,18.5
2000,1,9,71,82,1015.0,0.0,19.9
2000,1,10,78,81,1015.5,0.05,20.1
2000,1,11,94,83,1015.1,0.05,19.3
2000,1,12,59,86,1013.1,0.05,21.6
2000,1,13,90,86,1013.0,0.05,19.5
2000,1,14,92,84,1014.0,0.05,18.2
2000,1,15,82,83,1014.4,0.0,18.5
2000,1,16,74,84,1016.0,0.0,19.2
2000,1,17,89,74,1018.3,0.0,17.2
2000,1,18,95,68,1021.2,0.0,13.3
2000,1,19,54,58,1023.3,0.0,12.7
2000,1,20,19,62,1024.6,0.0,14.1
2000,1,21,85,70,1025.4,0.0,15.2
2000,1,22,89,72,1021.2,0.05,17.9
2000,1,23,100,95,1017.8,32.6,18.6
2000,1,24,100,96,1018.6,30.8,18.3
2000,1,25,100,84,1024.0,6.8,12.9
2000,1,26,73,69,1028.0,0.05,9.8
2000,1,27,13,55,1028.3,0.0,10.0
2000,1,28,55,60,1026.6,0.0,12.3
2000,1,29,40,65,1026.6,0.0,15.1
2000,1,30,40,54,1028.4,0.0,14.4
2000,1,31,88,62,1028.4,0.1,12.0
2000,2,1,85,77,1026.7,4.8,10.8
2000,2,2,88,83,1023.9,1.6,12.8
2000,2,3,88,83,1020.9,0.6,15.7
2000,2,4,86,84,1019.3,0.05,16.2
2000,2,5,28,83,1018.3,0.0,17.0
2000,2,6,13,72,1016.7,0.0,16.2
2000,2,7,54,69,1017.0,0.0,16.4
2000,2,8,28,61,1018.8,0.0,14.6
2000,2,9,27,67,1019.0,0.0,14.7
2000,2,10,82,78,1016.9,0.0,15.6
2000,2,11,31,76,1015.2,0.0,18.1
2000,2,12,41,82,1014.9,0.0,17.2
2000,2,13,39,81,1013.7,0.0,18.0
2000,2,14,16,82,1014.5,0.0,19.0
2000,2,15,57,76,1019.3,0.0,16.5
2000,2,16,64,68,1018.8,0.0,15.8
2000,2,17,88,81,1018.4,0.05,15.7
2000,2,18,88,83,1015.4,0.0,16.7
2000,2,19,88,92,1010.8,0.05,19.7
2000,2,20,94,95,1010.8,0.7,19.7
2000,2,21,95,91,1014.6,1.4,14.6
2000,2,22,100,94,1013.7,1.7,14.9
2000,2,23,100,95,1014.4,4.1,15.0
2000,2,24,100,88,1017.8,0.9,13.6
2000,2,25,92,82,1019.8,2.5,12.1
2000,2,26,89,65,1022.1,1.2,11.7
2000,2,27,93,67,1021.5,0.05,12.2
2000,2,28,95,90,1021.0,2.7,12.2
2000,2,29,95,84,1022.5,5.4,12.6
2000,3,1,98,93,1021.3,12.8,12.8
2000,3,2,95,93,1019.2,14.6,14.9
2000,3,3,72,86,1017.6,0.0,17.2
2000,3,4,48,82,1014.6,0.0,20.0
2000,3,5,28,82,1011.6,0.0,21.0
2000,3,6,85,84,1013.4,0.0,18.6
2000,3,7,58,75,1015.5,0.0,18.1
2000,3,8,70,77,1017.0,0.0,16.9
2000,3,9,58,76,1018.6,0.0,16.2
2000,3,10,78,81,1016.5,0.05,16.5
2000,3,11,87,89,1011.9,9.8,17.9
2000,3,12,95,93,1011.9,2.1,17.4
2000,3,13,92,86,1014.5,1.3,16.9
2000,3,14,89,86,1015.1,0.05,18.0
2000,3,15,57,87,1012.7,0.0,19.9
2000,3,16,85,87,1011.7,0.3,20.2
2000,3,17,96,70,1013.9,0.05,17.1
2000,3,18,89,79,1012.8,0.05,18.0
2000,3,19,89,83,1013.0,0.05,21.0
2000,3,20,74,73,1014.9,0.05,19.3
2000,3,21,58,70,1014.4,0.0,20.6
2000,3,22,21,83,1013.9,0.0,22.4
2000,3,23,52,81,1015.9,0.0,22.2
2000,3,24,67,71,1018.9,0.0,20.2
2000,3,25,61,57,1020.1,0.0,19.7
2000,3,26,73,66,1019.9,0.0,20.2
2000,3,27,17,71,1016.3,0.0,20.9
2000,3,28,22,68,1014.5,0.0,22.9
2000,3,29,20,67,1017.0,0.0,22.6
2000,3,30,56,67,1014.8,0.0,21.5
2000,3,31,86,85,1009.6,0.05,22.8
2000,4,1,86,87,1007.1,1.5,24.1
